,Adaptive momentum,Fixed momentum (20d half-life),Buy and hold
2020-04-29,1.0,1.0,0.6917396583774041
2020-04-30,1.0,1.0,0.6807899741286657
2020-05-01,1.0,1.0,0.653448406491154
2020-05-04,1.0,1.0,0.6492616912863951
2020-05-05,1.0,1.0,0.6595694904158729
2020-05-06,1.0,1.0,0.6638427465433749
2020-05-07,1.0,1.0,0.656438003866178
2020-05-08,1.0,1.0,0.6559998022328747
2020-05-11,1.0,1.0,0.6647312933944799
2020-05-12,1.0,1.0,0.6322566271756707
2020-05-13,1.0,1.0,0.6305886256127045
2020-05-14,1.0,1.0,0.6365298488553379
2020-05-15,1.0,1.0,0.6441358347881831
2020-05-18,1.0,1.0,0.6638941812396286
2020-05-19,1.0,1.0,0.6773266097272127
2020-05-20,1.0,1.0,0.6808756731942106
2020-05-21,1.0,1.0,0.6843129159930255
2020-05-22,1.0,1.0,0.6937976232262962
2020-05-25,1.0,1.0,0.6868201193231483
2020-05-26,1.0,1.0,0.6860489891301117
2020-05-27,1.0,1.0,0.6970529246596293
2020-05-28,1.0,1.0,0.7217619344389645
2020-05-29,0.99623851871967,0.99623851871967,0.719407921400937
2020-06-01,0.9949728925636804,0.9949728925636804,0.718493982153415
2020-06-02,0.9944754061173986,0.9981345996648522,0.7207771272948574
2020-06-03,0.9944754061173986,1.0221523224114502,0.7381209055901594
2020-06-04,0.9944754061173986,1.0211861917141938,0.7374232392545834
2020-06-05,0.9944754061173986,1.048135998795961,0.7568843465401831
2020-06-08,0.9944754061173986,1.0296444180147812,0.743531128969051
2020-06-09,0.9944754061173986,1.0257918635025152,0.7407491062087637
2020-06-10,0.9944754061173986,1.0217306357765958,0.7378163954756007
2020-06-11,0.9944754061173986,1.0358838195936104,0.7480367517052406
2020-06-12,0.9944754061173986,1.0551360132023921,0.7619392261892646
2020-06-15,0.9944754061173986,1.0264432619468862,0.7412194967749415
2020-06-16,0.9944754061173986,1.0092702706096508,0.7288184645221089
2020-06-17,0.9944754061173986,1.0150023319636163,0.7329577246154634
2020-06-18,0.9944754061173986,1.0026378975113803,0.7240290675504737
2020-06-19,0.9944754061173986,0.9751448298348708,0.7041756586544676
2020-06-22,0.9944754061173986,0.9746572574199535,0.7171754276671809
2020-06-23,0.9944754061173986,0.9824814318452411,0.7232912244890163
2020-06-24,0.9944754061173986,0.9908455203870367,0.7294487676720643
2020-06-25,0.9944754061173986,0.9820091408644136,0.7229435294479037
2020-06-26,0.9944754061173986,0.9999662304541215,0.7361633266843819
2020-06-29,0.9944754061173986,0.9952582278154624,0.7326973507554346
2020-06-30,0.9944754061173986,1.014689632504005,0.7470025213522175
2020-07-01,0.9944754061173986,0.9977752905744994,0.7345503826256455
2020-07-02,0.9944754061173986,0.9821594355364273,0.7230541746100733
2020-07-03,0.9944754061173986,0.9853900877504371,0.7254325426077063
2020-07-06,0.9944754061173986,0.9726220922302722,0.7160328951286636
2020-07-07,0.9944754061173986,0.9721357811841571,0.7245017867918748
2020-07-08,0.9944754061173986,0.97582091311219,0.7276104489563089
2020-07-09,0.9944754061173986,0.9593592339678154,0.7153359735972877
2020-07-10,0.9944754061173986,0.9588795543508316,0.7159883574536655
2020-07-13,0.9944754061173986,0.9588795543508316,0.7111909135547664
2020-07-14,0.9944754061173986,0.9588795543508316,0.722722910341763
2020-07-15,0.9944754061173986,0.9471651420306246,0.7142549312123021
2020-07-16,0.9944754061173986,0.9466915594596094,0.7083475261525817
2020-07-17,0.9944754061173986,0.9466915594596094,0.7236711624580289
2020-07-20,0.9944754061173986,0.9847496609829643,0.7531254202702887
2020-07-21,1.0300008287889093,1.0204200278651938,0.7804057140482615
2020-07-22,1.0307612646084598,1.0211733903077151,0.7809818771368311
2020-07-23,1.034415989208748,1.0247941196064,0.783750970016777
2020-07-24,1.0629406462766535,1.0530534477025741,0.8053633850215639
2020-07-27,1.0601383677693998,1.0502772352641627,0.803240169099508
2020-07-28,1.0412533697706143,1.0315679006252638,0.7889314812459542
2020-07-29,1.0430289285310053,1.033326943597962,0.7902767774471882
2020-07-30,1.0511199487263467,1.041342703219142,0.7964071398861668
2020-07-31,1.0351346557727623,1.025506101320181,0.7842954855913047
2020-08-03,1.0045094972215796,0.9951658100614655,0.761091573459429
2020-08-04,0.9784733076548672,0.9693718023863388,0.7413646076726178
2020-08-05,0.9779840710010398,0.9806601451695561,0.7499978047577324
2020-08-06,0.9779840710010398,0.9669774591631835,0.7395334410140681
2020-08-07,0.9779840710010398,0.9641346250965702,0.7373592736230993
2020-08-10,0.9779840710010398,0.9674434695274844,0.7398898404781858
2020-08-11,0.9779840710010398,0.9778942443648861,0.7478824750567161
2020-08-12,0.9779840710010398,0.9716282565663736,0.7430903183481241
2020-08-13,0.9779840710010398,0.9799976383584796,0.7494911270300896
2020-08-14,0.9779840710010398,0.9640364224923896,0.7372841693803913
2020-08-17,0.9779840710010398,0.9635544042811435,0.7322064730772493
2020-08-18,0.9779840710010398,0.9635544042811435,0.7185412108456252
2020-08-19,0.9779840710010398,0.9635544042811435,0.7330360415145515
2020-08-20,0.9779840710010398,0.9635544042811435,0.7323857620202522
2020-08-21,0.9779840710010398,0.9635544042811435,0.7224150517670181
2020-08-24,0.9779840710010398,0.9635544042811435,0.7175604143687917
2020-08-25,0.9779840710010398,0.9635544042811435,0.7144164335926525
2020-08-26,0.9779840710010398,0.9635544042811435,0.723192464159863
2020-08-27,0.9779840710010398,0.9635544042811435,0.7024357498123641
2020-08-28,0.9779840710010398,0.9635544042811435,0.6891674208252057
2020-08-31,0.9779840710010398,0.9635544042811435,0.6842191780270934
2020-09-01,0.9779840710010398,0.9635544042811435,0.7158422396479405
2020-09-02,0.9779840710010398,0.9635544042811435,0.7279715931678317
2020-09-03,0.9779840710010398,0.9635544042811435,0.7262221043080985
2020-09-04,0.9779840710010398,0.9635544042811435,0.7352950809464954
2020-09-07,0.9779840710010398,0.9990258676392392,0.7627312493772239
2020-09-08,0.9729994886927875,0.9944335525842616,0.7592251317551707
2020-09-09,0.9662166809842883,0.987501327393557,0.7539325513006077
2020-09-10,0.9871313397879943,1.0088767121670879,0.7702521226574142
2020-09-11,0.995552898031214,1.0174837876891434,0.7768234094269297
2020-09-14,1.0072531546769419,1.0294417875828437,0.7859530430975049
2020-09-15,0.9976816653659281,1.0196594493291398,0.7784844726432586
2020-09-16,1.032429363305886,1.0551725992414593,0.8055978738867643
2020-09-17,1.0642680274326184,1.0877126326587638,0.8304413750883968
2020-09-18,1.07473522065962,1.098410406159444,0.8386088574449947
2020-09-21,1.087619694644194,1.1115787103431114,0.848662528153164
2020-09-22,1.048227713598732,1.0713189690898053,0.8179252232039924
2020-09-23,1.0599053615137264,1.083253862208339,0.8270372154299735
2020-09-24,1.0557861633775454,1.0790439228569173,0.8238230320886551
2020-09-25,1.0636389181502364,1.0870696648197127,0.8299504852335148
2020-09-28,1.0763549000268007,1.1000657652072858,0.8398726826527563
2020-09-29,1.0693350302953422,1.0928912557888772,0.8343951242534902
2020-09-30,1.0368718208460723,1.0597129190311718,0.8090642944249663
2020-10-01,1.0433430803589752,1.066326732976497,0.8141137758619055
2020-10-02,1.0291005335201342,1.0517704391496374,0.8030004097955207
2020-10-05,1.022593102546061,1.045119656927297,0.7979227040042094
2020-10-06,1.0111218746930613,1.0333957310682116,0.7889717800013735
2020-10-07,1.0045223398897571,1.026650816074813,0.7838222061950265
2020-10-08,0.9632336856511657,0.9844526200911052,0.7516049395689124
2020-10-09,0.9627520688083402,0.9839603937810597,0.7679432889278733
2020-10-12,0.9662843056481446,0.9875704417512747,0.7711447643346393
2020-10-13,0.9854154115784474,1.0071229840251623,0.7864123745895618
2020-10-14,1.0207576685619575,1.043243790435529,0.8146173203527266
2020-10-15,1.0207644833733096,1.0432507553693668,0.8146227589240285
2020-10-16,0.9877832256585941,1.009542958336498,0.788302012473723
2020-10-19,0.9716282798124123,0.9930321375433566,0.7754095316225138
2020-10-20,0.9503677571578196,0.9713032699345884,0.7584425368816543
2020-10-21,0.9498925732792408,0.9708176182996211,0.7513212275876627
2020-10-22,0.9498925732792408,0.9708176182996211,0.7520982425132655
2020-10-23,0.9498925732792408,0.9708176182996211,0.725185574008087
2020-10-26,0.9498925732792408,0.9708176182996211,0.7293780211430443
2020-10-27,0.9498925732792408,0.9708176182996211,0.7095320905390329
2020-10-28,0.9498925732792408,0.9708176182996211,0.7130548173244248
2020-10-29,0.9498925732792408,0.9708176182996211,0.7113662804209406
2020-10-30,0.9498925732792408,0.9708176182996211,0.7070787863092481
2020-11-02,0.9498925732792408,0.9708176182996211,0.7058673442506764
2020-11-03,0.9498925732792408,0.9708176182996211,0.6987627826468367
2020-11-04,0.9498925732792408,0.9708176182996211,0.6908252047394755
2020-11-05,0.9498925732792408,0.9708176182996211,0.6699460701797114
2020-11-06,0.9498925732792408,0.9708176182996211,0.6693211067768121
2020-11-09,0.9498925732792408,0.9708176182996211,0.6916524101826754
2020-11-10,0.9498925732792408,0.9708176182996211,0.7164671820880708
2020-11-11,0.9498925732792408,0.9708176182996211,0.733424865785777
2020-11-12,0.9498925732792408,0.9708176182996211,0.7425049881379807
2020-11-13,0.9498925732792408,0.9581990408187715,0.7332252448671122
2020-11-16,0.9498925732792408,0.9577199412983621,0.7522152055784065
2020-11-17,0.9491927519895627,0.9570143532947039,0.7520371281816582
2020-11-18,0.9488954610229049,0.9567146125712311,0.751801587144992
2020-11-19,0.9473335727993262,0.9551398539723336,0.7505641167452878
2020-11-20,0.9479512189829487,0.9557625897251566,0.7510534724227202
2020-11-23,0.9455736257878118,0.9533654045282907,0.7491697260975327
2020-11-24,0.9451929265499743,0.9529815682272494,0.7488681014160082
2020-11-25,0.9391558755515956,0.9468947703193319,0.7440849986310464
2020-11-26,0.9371463732838133,0.9448687092171849,0.7424928875330951
2020-11-27,0.950152809415079,0.9443962748625764,0.7527977732957949
2020-11-30,0.9498511228338605,0.9436242179227972,0.7525587496520988
2020-12-01,0.9485867981176355,0.9423681816947312,0.7515570362206739
2020-12-02,0.9517168287887411,0.9454776929361187,0.754036932187099
2020-12-03,0.9558646014358061,0.9495982741789256,0.7573231762332224
2020-12-04,0.9495931783574562,0.9433679644437377,0.7523543824960508
2020-12-07,0.9485084582833225,0.9422903554300581,0.751494968254083
2020-12-08,0.953844215428401,0.9475911331435476,0.7557224420434148
2020-12-09,0.9554853083559104,0.9492214676170591,0.7570226656383553
2020-12-10,0.9562803392453175,0.9500112865510021,0.7576525616690953
2020-12-11,0.9653350256867134,0.959006613509512,0.7648265106628057
2020-12-14,0.9615134768416929,0.9552101174550803,0.7617987308861573
2020-12-15,0.9620871670281973,0.9557800467214217,0.7622532606109371
2020-12-16,0.95918570905514,0.9528976097322505,0.7599544607970699
2020-12-17,0.967897849333578,0.9615526361453873,0.7668570134572953
2020-12-18,0.9567244239829937,0.9504524600183039,0.7580044061286019
2020-12-21,0.9529805951519358,0.9467331744715289,0.7550382032402938
2020-12-22,0.9525041048543599,0.9438264962869315,0.7527200705994669
2020-12-23,0.9525041048543599,0.9476863477307297,0.7557983775369276
2020-12-24,0.9525041048543599,0.9512350981828224,0.7586285753554333
2020-12-25,0.9601309456357017,0.9593273953897654,0.7650823404795163
2020-12-28,0.9512010790735437,0.9504050023878595,0.7579665577411293
2020-12-29,0.9555894066711832,0.9547896573179984,0.7614634057121838
2020-12-30,0.9540047501972596,0.9532063270705704,0.7602006689058801
2020-12-31,0.950297315441911,0.9495019951316898,0.7572463918120206
2021-01-01,0.9498221667841901,0.9526761675379146,0.7597778563207072
2021-01-04,0.9442123543912373,0.9475258370114749,0.7556703671023776
2021-01-05,0.9437402482140417,0.9358851120677297,0.7463866615315382
2021-01-06,0.9437402482140417,0.935417169511696,0.7448050215140268
2021-01-07,0.9437402482140417,0.935417169511696,0.7382155409947909
2021-01-08,0.9437402482140417,0.935417169511696,0.7354204290588384
2021-01-11,0.9437402482140417,0.935417169511696,0.737135461546053
2021-01-12,0.9437402482140417,0.935417169511696,0.738590525771802
2021-01-13,0.9437402482140417,0.935417169511696,0.7457310942513596
2021-01-14,0.9437402482140417,0.935417169511696,0.7449127841485077
2021-01-15,0.9437402482140417,0.935417169511696,0.7381648353003728
2021-01-18,0.9437402482140417,0.935417169511696,0.7348971611246841
2021-01-19,0.9437402482140417,0.935417169511696,0.7309274938704504
2021-01-20,0.9437402482140417,0.935417169511696,0.7256786719931743
2021-01-21,0.9437402482140417,0.935417169511696,0.7276495314653326
2021-01-22,0.9437402482140417,0.935417169511696,0.7249104466985982
2021-01-25,0.9437402482140417,0.935417169511696,0.7164323951537155
2021-01-26,0.9437402482140417,0.935417169511696,0.7195064028743606
2021-01-27,0.9437402482140417,0.935417169511696,0.7190974370085522
2021-01-28,0.9437402482140417,0.935417169511696,0.7207107584565838
2021-01-29,0.9437402482140417,0.935417169511696,0.7212401918258433
2021-02-01,0.9437402482140417,0.935417169511696,0.7240512283555881
2021-02-02,0.9437402482140417,0.935417169511696,0.7242888375804313
2021-02-03,0.9437402482140417,0.935417169511696,0.7297539880424625
2021-02-04,0.9457725086753684,0.935417169511696,0.7316903251699269
2021-02-05,0.9480947730079824,0.935417169511696,0.733486928823633
2021-02-08,0.9505242460084781,0.935417169511696,0.7353664737178
2021-02-09,0.9423472562329086,0.935417169511696,0.7290404024343606
2021-02-10,0.9418760826047922,0.935417169511696,0.7283934370212402
2021-02-11,0.9418760826047922,0.935417169511696,0.7273337413824054
2021-02-12,0.9418760826047922,0.935417169511696,0.7283128676077808
2021-02-15,0.9418760826047922,0.935417169511696,0.722471919932982
2021-02-16,0.9418760826047922,0.935417169511696,0.729663334938389
2021-02-17,0.9420895077955006,0.935417169511696,0.73019350527332
2021-02-18,0.9353608434956427,0.935417169511696,0.7249782609358497
2021-02-19,0.934893163073895,0.935417169511696,0.7176545661991391
2021-02-22,0.934893163073895,0.935417169511696,0.7165160330684714
2021-02-23,0.934893163073895,0.935417169511696,0.7162022301810593
2021-02-24,0.934893163073895,0.935417169511696,0.7131935334184293
2021-02-25,0.934893163073895,0.935417169511696,0.713659174631768
2021-02-26,0.934893163073895,0.935417169511696,0.7109900585210418
2021-03-01,0.934893163073895,0.935417169511696,0.7134186370346933
2021-03-02,0.934893163073895,0.935417169511696,0.7103949947082351
2021-03-03,0.934893163073895,0.935417169511696,0.7103019380998515
2021-03-04,0.934893163073895,0.935417169511696,0.7145572925041392
2021-03-05,0.934893163073895,0.935417169511696,0.7257409934970233
2021-03-08,0.928883466466079,0.935417169511696,0.7214386430262425
2021-03-09,0.9263908636563917,0.935417169511696,0.7195027059000649
2021-03-10,0.9218266865840815,0.935417169511696,0.7159578331227442
2021-03-11,0.9213657732407895,0.935417169511696,0.719406986565331
2021-03-12,0.9146714931297601,0.935417169511696,0.7145397627928433
2021-03-15,0.9142141573831953,0.935417169511696,0.7125374732269373
2021-03-16,0.9142141573831953,0.935417169511696,0.712482176978621
2021-03-17,0.9142141573831953,0.935417169511696,0.70838152511049
2021-03-18,0.9142141573831953,0.935417169511696,0.7043947162804071
2021-03-19,0.9142141573831953,0.935417169511696,0.7024576665431743
2021-03-22,0.9142141573831953,0.935417169511696,0.693729764815398
2021-03-23,0.9142141573831953,0.935417169511696,0.6878079300364945
2021-03-24,0.9142141573831953,0.935417169511696,0.6861741256343005
2021-03-25,0.9142141573831953,0.935417169511696,0.6868533511625353
2021-03-26,0.9142141573831953,0.935417169511696,0.686156850664954
2021-03-29,0.9142141573831953,0.935417169511696,0.6789601487223123
2021-03-30,0.9142141573831953,0.935417169511696,0.6771411313254933
2021-03-31,0.9142141573831953,0.935417169511696,0.680460886464992
2021-04-01,0.9142141573831953,0.935417169511696,0.6828024204960329
2021-04-02,0.9142141573831953,0.935417169511696,0.6825481327177295
2021-04-05,0.9142141573831953,0.935417169511696,0.6789916496357851
2021-04-06,0.9142141573831953,0.935417169511696,0.6816362294757425
2021-04-07,0.9142141573831953,0.935417169511696,0.6793405537844128
2021-04-08,0.9142141573831953,0.935417169511696,0.6746587877088982
2021-04-09,0.9142141573831953,0.935417169511696,0.6714865231300421
2021-04-12,0.9142141573831953,0.935417169511696,0.6774149553484079
2021-04-13,0.9142141573831953,0.935417169511696,0.6783783006818078
2021-04-14,0.9142141573831953,0.935417169511696,0.6831815113460993
2021-04-15,0.9112226947932336,0.935417169511696,0.6812876172136415
2021-04-16,0.910767083445837,0.935417169511696,0.6852018445378787
2021-04-19,0.907121396810599,0.935417169511696,0.682801668242485
2021-04-20,0.9063555979695883,0.935417169511696,0.6822252418369138
2021-04-21,0.9059024201706035,0.935417169511696,0.6925482920900858
2021-04-22,0.9097198637498668,0.935417169511696,0.6958129424012713
2021-04-23,0.9070791280612835,0.935417169511696,0.6937931359280971
2021-04-26,0.90670828632071,0.935417169511696,0.693509492036218
2021-04-27,0.9085756142288398,0.935417169511696,0.6949377459173942
2021-04-28,0.9152899127816407,0.935417169511696,0.7000732783140678
2021-04-29,0.9126989244641174,0.9323014966870089,0.6980915218670756
2021-04-30,0.9033030915021478,0.9318353459386655,0.6909049774811695
2021-05-03,0.9018789377720098,0.9318353459386655,0.6898156920462947
2021-05-04,0.9014279983031238,0.9318353459386655,0.6899483651511399
2021-05-05,0.9014279983031238,0.9318353459386655,0.6904710110984102
2021-05-06,0.9014279983031238,0.9318353459386655,0.696017031308865
2021-05-07,0.9027820549778421,0.9318353459386655,0.6974105437457816
2021-05-10,0.9072868563361909,0.9318353459386655,0.7008905597113956
2021-05-11,0.9014025934052875,0.925325954643743,0.6963448922520604
2021-05-12,0.9061994236894997,0.9248632916664212,0.7000505042525679
2021-05-13,0.9177607312051158,0.9362002814783137,0.7089817603806883
2021-05-14,0.9221188972087321,0.9406460112862965,0.7123484986820948
2021-05-17,0.923615172877341,0.9421723499653131,0.7135043905409153
2021-05-18,0.9245613736967946,0.9431375617502457,0.7142353426287966
2021-05-19,0.9346221106715858,0.9534004379743253,0.7220073890550459
2021-05-20,0.9295301086868916,0.9482061280313632,0.7180737531865445
2021-05-21,0.9290035729619566,0.9476690132070612,0.7176669976864726
2021-05-24,0.9316654866864956,0.9503844098169293,0.7197233596708505
2021-05-25,0.9359273323083669,0.9547318839843779,0.7230156892603912
2021-05-26,0.933568060815465,0.9523252102614368,0.7211931222237113
2021-05-27,0.9353846153065445,0.954178262770707,0.72259643351948
2021-05-28,0.933919521488998,0.9526837324451634,0.721464630034575
2021-05-31,0.9346882917363466,0.9534679487419478,0.7220585147637437
2021-06-01,0.9340411981661152,0.9528078538370395,0.7215586268049821
2021-06-02,0.9277580572039712,0.9463984726799234,0.7167048210268557
2021-06-03,0.9277333035481936,0.9463732216763463,0.7166856985150154
2021-06-04,0.9327220180087565,0.9514621688533095,0.7205395434661305
2021-06-07,0.9274186692044294,0.9460522657330602,0.7164426395091836
2021-06-08,0.9261706935581997,0.9447792158938673,0.7154785625548186
2021-06-09,0.9299652616094657,0.9486500239998309,0.718409914317209
2021-06-10,0.9241071625485783,0.9426742246403083,0.7138844587780309
2021-06-11,0.9252128986443606,0.9438021770672473,0.7147386538825379
2021-06-14,0.9194384404029676,0.9379116990296021,0.7102778119331861
2021-06-15,0.9189787211827662,0.9444130185243227,0.715201242347975
2021-06-16,0.931453914505479,0.9577056905253364,0.7252677443368019
2021-06-17,0.9429188709688805,0.9694937713693085,0.7341948238021831
2021-06-18,0.9417738410673075,0.9683164703397237,0.7333032571438876
2021-06-21,0.9460603450694546,0.972723783692951,0.7366409027754252
2021-06-22,0.9468421008359844,0.9735275721945046,0.7372496094785521
2021-06-23,0.9475170944965343,0.9742215896436882,0.7377751868817977
2021-06-24,0.9564528762845638,0.9834092144251374,0.7447329485062477
2021-06-25,0.9490072549215055,0.9757537482363634,0.7389354861443679
2021-06-28,0.9551307202649729,0.9820497952160864,0.7437034642783575
2021-06-29,0.954945580417639,0.9818594374511198,0.743559306894539
2021-06-30,0.9631465671629444,0.9902915579796718,0.7499449273374585
2021-07-01,0.9643256019473913,0.9915038222740267,0.7508629715748532
2021-07-02,0.9605374455942477,0.9876089018281435,0.7479133596073108
2021-07-05,0.9622322149627838,0.9893514359923128,0.7492329756805781
2021-07-06,0.9665872916044708,0.9938292546127133,0.7526240147466463
2021-07-07,0.9668914104436683,0.9941419446324339,0.7528608139925137
2021-07-08,0.9698238174501794,0.9971569975871075,0.755144104858513
2021-07-09,0.9668896493542148,0.9941401339090424,0.7528594427369361
2021-07-12,0.9546846428598929,0.9815911457192009,0.7433561303433728
2021-07-13,0.9599500103453461,0.9870049105066975,0.7474559587297364
2021-07-14,0.9640818223511439,0.9912531720776786,0.7506731549074557
2021-07-15,0.9650358387726959,0.9922340761691709,0.7514159907336239
2021-07-16,0.9655285799747432,0.9927407046193906,0.7517996589909421
2021-07-19,0.9716478817592507,0.9990324706958433,0.7565643952092898
2021-07-20,0.9690835556463162,0.9963958724997599,0.7545677070353404
2021-07-21,0.9650806109547551,0.9922801101949746,0.7514508521679744
2021-07-22,0.9640858371192659,0.9912572999966414,0.7506762809685248
2021-07-23,0.9710858869434243,0.9984546368118683,0.756126803283317
2021-07-26,0.9631336998825665,0.9902783280522998,0.7499349083517951
2021-07-27,0.9701427435432601,0.9974849121832502,0.7553924336319893
2021-07-28,0.9665255190191664,0.9937657410501602,0.7525759161097648
2021-07-29,0.9602591931060218,0.9873228071677136,0.7476967009499698
2021-07-30,0.967643381499499,0.9949151089812701,0.7534463291135258
2021-08-02,0.9671777275619305,0.9944363312136534,0.7530837520974412
2021-08-03,0.9597577079943596,0.9868071883725448,0.7473062243304723
2021-08-04,0.9577899228841174,0.9847839438851237,0.7457740271428073
2021-08-05,0.9573110279226753,0.9903996864964967,0.7500268127499309
2021-08-06,0.9638004554133958,0.9976086154882515,0.7554861137864176
2021-08-09,0.9614299280530278,0.9951549348485808,0.7536279485479082
2021-08-10,0.9638730636104406,0.9976837706331988,0.7555430285599127
2021-08-11,0.9681084508297021,1.0020677266233957,0.7588629857281091
2021-08-12,0.9644677145529723,0.9982992807215639,0.7560091525662975
2021-08-13,0.9666210866668337,1.0005281887502686,0.7576970981578353
2021-08-16,0.9665328696136258,1.0004368772222247,0.7576279482022368
2021-08-17,0.9635256994554817,0.9973242216500535,0.7552707431568249
2021-08-18,0.9607807862495686,0.9944830224706945,0.7531191112511034
2021-08-19,0.9612634181617513,0.9949825841289182,0.7534974278473202
2021-08-20,0.9615317643418492,0.9952603433473284,0.7537077740985727
2021-08-23,0.9583707056473229,0.9919884011418529,0.7512299417473168
2021-08-24,0.9578915202944992,0.9895553928957528,0.749387431652557
2021-08-25,0.9578915202944992,0.9962873974307013,0.7544855591798655
2021-08-26,0.9587382193313939,0.997666179032564,0.7555297064917266
2021-08-27,0.9639395944384318,1.0030787472645601,0.7596286287300767
2021-08-30,0.971012716664967,1.0104390617730385,0.7652025735797157
2021-08-31,0.9745468738738623,1.0141167175163945,0.7679876516175916
